instruction,input,output,source,task
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,معن عنك آوكڢي مع راصك و اعرڢي عن ماناڢعك اعمر ولا زيد,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,معن عنك آوكڢي مع راصك و اع,معن عنك آوكڢي مع راصك و اعرڢي عن ماناڢعك اعمر ولا زيد,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و الله و تقولها للخلطة كاملين يجوا إن شاء الله,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و الله و تقولها للخلطة ,و الله و تقولها للخلطة كاملين يجوا إن شاء الله,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هذي مفاجئة ما كنت نبغيه تجبرني في المبدية لعله تنكبظ عني فكرة خطأ,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,هذي مفاجئة ما كنت نبغيه تجبرني ف,هذي مفاجئة ما كنت نبغيه تجبرني في المبدية لعله تنكبظ عني فكرة خطأ,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,يوالدي انت ڢيك ضغط الدم و شي كامل لاه يطلعولك ما يالل تعمل كيڢت الدسم و الملح,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,يوالدي انت ڢيك ضغط الدم و شي كامل لاه ,يوالدي انت ڢيك ضغط الدم و شي كامل لاه يطلعولك ما يالل تعمل كيڢت الدسم و الملح,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,آن بعد ما كط زلكت فيك و لا كط قلت لك كلمة خاسرة ، حتى كلامك الجارح الي دايما تقولي لي آن ما نرد عليه,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,آن بعد ما كط زلكت فيك و لا كط قلت لك كلمة خاسرة ، ,آن بعد ما كط زلكت فيك و لا كط قلت لك كلمة خاسرة ، حتى كلامك الجارح الي دايما تقولي لي آن ما نرد عليه,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ألا ذا أفتحي الكوة و جي مدلي لي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ألا ذا أفتحي ال,ألا ذا أفتحي الكوة و جي مدلي لي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اه ؟ آن ملي مزيري كابظو,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اه ؟ آن ملي,اه ؟ آن ملي مزيري كابظو,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,يلالك يا آن وحدك مسيكين الخط,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,يلالك يا آن وح,يلالك يا آن وحدك مسيكين الخط,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هذ أمالو أل مظبوط,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ان من اليوم ان و أنت ماتين نشتركو دار وحده,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ان من اليوم ان و أنت ,ان من اليوم ان و أنت ماتين نشتركو دار وحده,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"بسم الله الرحمن الرحيم, يمي الا حمدي لمولان الي اقال لك مولان عثرت ذا الايشير, و رجع لك, يختي هذا النوع صعيب و تفو بيه هذا الزمن عاد يخلع",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"بسم الله الرحمن الرحيم, يمي الا حمدي لمولان الي اقال لك مولان عثرت ذ","بسم الله الرحمن الرحيم, يمي الا حمدي لمولان الي اقال لك مولان عثرت ذا الايشير, و رجع لك, يختي هذا النوع صعيب و تفو بيه هذا الزمن عاد يخلع",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ولا فيها شي يسوى شنهو يغير يختي داخلتها ظرك عصابة ما اعرفنا يختي من أرض جاية .,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ولا فيها شي يسوى شنهو يغير يختي داخلتها,ولا فيها شي يسوى شنهو يغير يختي داخلتها ظرك عصابة ما اعرفنا يختي من أرض جاية .,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اركاج يعود يعرڢ يينت لاه يمشي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اركاج يعود يعر,اركاج يعود يعرڢ يينت لاه يمشي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,مع اني بعد ماني باخلة لو حالة,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,مع اني بعد مان,مع اني بعد ماني باخلة لو حالة,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و ألا تمي حمدي لمولان,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و ألا تمي ,و ألا تمي حمدي لمولان,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ڢيهم وحدين قابلين يبيعولي يغير معلقينها ڢي السما,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ڢيهم وحدين قابلين يبيعول,ڢيهم وحدين قابلين يبيعولي يغير معلقينها ڢي السما,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و توف نحن كاع الا ليهي انسكموا لهم هوم خاسرهم,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و توف نحن كاع الا ليهي,و توف نحن كاع الا ليهي انسكموا لهم هوم خاسرهم,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ظرك بيني معاكم بعد سبوع ليهي نرجع لكم نجبر عاد فظه,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ظرك بيني معاكم بعد سبوع ل,ظرك بيني معاكم بعد سبوع ليهي نرجع لكم نجبر عاد فظه,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هذا اللا شي معروف في الخلق و جربناه,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,هذا اللا شي معروف,هذا اللا شي معروف في الخلق و جربناه,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و ملي نعدلوا معمول لذا الخلق الي ليهي يجينا,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و ملي نعدلوا معمول لذ,و ملي نعدلوا معمول لذا الخلق الي ليهي يجينا,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و يعقب يخلقو ذوك التدخلات,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و يعقب يخلقو,و يعقب يخلقو ذوك التدخلات,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ياك أنت باط مانك حاس بشي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ياك أنت باط ,ياك أنت باط مانك حاس بشي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,انت امالك اختي الطيبة المتعدلة لما كيڢتها شي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,انت امالك اختي الطيبة ,انت امالك اختي الطيبة المتعدلة لما كيڢتها شي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و ما نمشي عن داري و ما نمشي و,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و ما نمشي عن د,و ما نمشي عن داري و ما نمشي و,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هذي منظمة الرجالة الي كانوا باباتيكهم و لا تلاو باباتيكهم لا بدالهم من ش يا اخي ما يصح,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,هذي منظمة الرجالة الي كانوا باباتيكهم و لا ,هذي منظمة الرجالة الي كانوا باباتيكهم و لا تلاو باباتيكهم لا بدالهم من ش يا اخي ما يصح,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ايو و توف كيم اص,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,دور انلودولها اليوم إن شاء الله واللا لين نجبرها طيني رقمك وتوف. ما فم مشكلة طيني رقمك اللا لين نجبرها إن شاء الله لا اتلى ايورطك كاع اتجي إلاه,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,دور انلودولها اليوم إن شاء الله واللا لين نجبرها طيني رقمك وتوف. ما فم ,دور انلودولها اليوم إن شاء الله واللا لين نجبرها طيني رقمك وتوف. ما فم مشكلة طيني رقمك اللا لين نجبرها إن شاء الله لا اتلى ايورطك كاع اتجي إلاه,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,لين نسمعك ذ الي ليهي نقول لك,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,لين نسمعك ذ ال,لين نسمعك ذ الي ليهي نقول لك,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و واحد اثنين ثلاثة اربعة و خمسة و ستة قلت لك,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و واحد اثنين ثلاثة ارب,و واحد اثنين ثلاثة اربعة و خمسة و ستة قلت لك,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,صبرت لها و صبرت لها و لاتيتي كاع تسوليني عنها بيها الي ما هي مهمة عندي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,صبرت لها و صبرت لها و لاتيتي كاع تس,صبرت لها و صبرت لها و لاتيتي كاع تسوليني عنها بيها الي ما هي مهمة عندي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,يجيه عند بل مقرو تل يتكلم هو كاع يجيك عند بل الدار يا سعدك,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,يجيه عند بل مقرو تل يتكلم هو ,يجيه عند بل مقرو تل يتكلم هو كاع يجيك عند بل الدار يا سعدك,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,مانك ليهي تغلبيني راني قايلتها لك بيك انت كاع في ذوك الاحساس,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,مانك ليهي تغلبيني راني قايلتها,مانك ليهي تغلبيني راني قايلتها لك بيك انت كاع في ذوك الاحساس,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,والله ما فم,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ذاك شفتو كامل,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,طيتو رقمي و عاد ألا يموت بيه الظحك كاع عنو جبر رقمي ان,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,طيتو رقمي و عاد ألا يموت بي,طيتو رقمي و عاد ألا يموت بيه الظحك كاع عنو جبر رقمي ان,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اياك الخير ؟ اياك ما يوجعك شي ؟ مرحب وسهلا.,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اياك الخير ؟ اياك ما ,اياك الخير ؟ اياك ما يوجعك شي ؟ مرحب وسهلا.,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,شوف أص اَن عندي مشكلة شوي خليك لي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,شوف أص اَن عندي ,شوف أص اَن عندي مشكلة شوي خليك لي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,يا مرحبا كبيرة انت شحالك اياك لباس اياك الخير اياك لباس، ما شاء الله فتبارك الله و بسم الله الرحمن الرحيم، اياك انت مانك حاس بشي، والله والله والله ذاك آن جاهز له كامل الا الي تبغي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,يا مرحبا كبيرة انت شحالك اياك لباس اياك الخير اياك لباس، ما شاء الله فتبارك الله و بسم الل,يا مرحبا كبيرة انت شحالك اياك لباس اياك الخير اياك لباس، ما شاء الله فتبارك الله و بسم الله الرحمن الرحيم، اياك انت مانك حاس بشي، والله والله والله ذاك آن جاهز له كامل الا الي تبغي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,قاعد يطير الما عند حيط لمسيد,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,قاعد يطير الما,قاعد يطير الما عند حيط لمسيد,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,أيظل هون يرد علين,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,واضح بعد انت تجبر التركة,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,واضح بعد انت,واضح بعد انت تجبر التركة,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"اللا كنت وتوف واخظة, خظت على دار والدتي ولا كديت نصبر, اتفكدت ذاك من الألم اللي كانت عايشة كامل كانت صابرتو",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"اللا كنت وتوف واخظة, خظت على دار والدتي ولا كديت نصبر","اللا كنت وتوف واخظة, خظت على دار والدتي ولا كديت نصبر, اتفكدت ذاك من الألم اللي كانت عايشة كامل كانت صابرتو",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,من كد فيراج من كد ايزين,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,من كد فيراج,من كد فيراج من كد ايزين,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"قال لي الوتات ما ينباعو ظرك, قلت لو اَن اندور ثلت وتات اندور نسمع الناس",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"قال لي الوتات ما ينباعو ظرك, قلت لو","قال لي الوتات ما ينباعو ظرك, قلت لو اَن اندور ثلت وتات اندور نسمع الناس",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,الناس مافاتو عدلوهم هوم عدلوه غير الناس مافاتو,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,الناس مافاتو عدلوهم هوم,الناس مافاتو عدلوهم هوم عدلوه غير الناس مافاتو,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,وهاي جاي لا يفوتنا العرس,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,وهاي جاي لا ,وهاي جاي لا يفوتنا العرس,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ظرك ما نعرف شليهي نواسي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ظرك ما نعرف,ظرك ما نعرف شليهي نواسي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,جايب شي ما يجي ايديه طرايك ما عندو شي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,جايب شي ما يجي ايد,جايب شي ما يجي ايديه طرايك ما عندو شي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و نعرف ذ ليهي نصحب منهو,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و نعرف ذ لي,و نعرف ذ ليهي نصحب منهو,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اللا ما ينجبر ولا يقعد ولا شي يسوى شنهو,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اللا ما ينجبر ولا ي,اللا ما ينجبر ولا يقعد ولا شي يسوى شنهو,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ما يطلب حد منك غاية ولا لي ايقولك حد مردة ما قلتلو نحن ما عندنا انت اشخاصك ؟ انت اشخاصك ؟,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ما يطلب حد منك غاية ولا لي ايقولك حد مردة ما,ما يطلب حد منك غاية ولا لي ايقولك حد مردة ما قلتلو نحن ما عندنا انت اشخاصك ؟ انت اشخاصك ؟,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,فاسختيها ذيك الليلة اعقبت اعرفت اعلن الزين مو اعلن هو زين النية.,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,فاسختيها ذيك الليلة اعقبت اعرفت ,فاسختيها ذيك الليلة اعقبت اعرفت اعلن الزين مو اعلن هو زين النية.,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ما ريتوه مالو شخلك لو ؟,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ما ريتوه ما,ما ريتوه مالو شخلك لو ؟,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اللا ايجازيكم بالخير هذا اللا هو اللي بين الجيران.,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اللا ايجازيكم بالخير هذا ,اللا ايجازيكم بالخير هذا اللا هو اللي بين الجيران.,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و توف تميت الا دافع و تلفنت على بون,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و توف تميت الا دا,و توف تميت الا دافع و تلفنت على بون,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"ماشا الله زين فتبارك الله, ألا أن أجبرن شي من البرد أنقولك الخير ماهو معقول",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"ماشا الله زين فتبارك الله, ألا أن أجب","ماشا الله زين فتبارك الله, ألا أن أجبرن شي من البرد أنقولك الخير ماهو معقول",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,عاقل انت الي ماشي مخليها هي دافعة تجيب النعناع و وقدت,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,عاقل انت الي ماشي مخليها ه,عاقل انت الي ماشي مخليها هي دافعة تجيب النعناع و وقدت,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,أندورك أتجيني حالا,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,الطفيلة مرت و ذ هو أنلودو له,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,الطفيلة مرت و ,الطفيلة مرت و ذ هو أنلودو له,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و الله ال قريب منكم,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,أيو الحمد لله الحمد لله المهم كاع اللا تنجبر هي وتوف ذا عادي اللا لي نرجع مع طريقي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,أيو الحمد لله الحمد لله المهم كاع اللا تن,أيو الحمد لله الحمد لله المهم كاع اللا تنجبر هي وتوف ذا عادي اللا لي نرجع مع طريقي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,نحن نبغوا عادة لين يجين اركاج نجوه هون نسلموا عليه,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,نحن نبغوا عادة لين يجين ا,نحن نبغوا عادة لين يجين اركاج نجوه هون نسلموا عليه,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,ما شاء الله تبارك الله اَن هامني نتلبهم عجلان مانبطى,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,ما شاء الله تبارك الله اَن,ما شاء الله تبارك الله اَن هامني نتلبهم عجلان مانبطى,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,قال لي شي عجيب و غريب لا حول و لا قوة إلا بالله,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,قال لي شي عجيب و غريب ل,قال لي شي عجيب و غريب لا حول و لا قوة إلا بالله,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و راهو أقتنع أنو ليهي يجو لمناسبتهم,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و راهو أقتنع أنو ,و راهو أقتنع أنو ليهي يجو لمناسبتهم,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,اللهم اشف أنت الشافي لا شفاء إلا شفاؤك,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,اللهم اشف أنت الشاف,اللهم اشف أنت الشافي لا شفاء إلا شفاؤك,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هي أملي أطفيل ألا تمشي و تجي ألا تمشي و تجي,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,هي أملي أطفيل ألا تمش,هي أملي أطفيل ألا تمشي و تجي ألا تمشي و تجي,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و تجيب سرويتة كبرها مولان من الامراد الي ما أنزل الله بها من سلطان,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و تجيب سرويتة كبرها مولان من الام,و تجيب سرويتة كبرها مولان من الامراد الي ما أنزل الله بها من سلطان,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"والدي و والدك يا اسلم بوه يرحمو , و ذا الحال ماني ليهي انتم ساكت عنو ابدا",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"والدي و والدك يا اسلم بوه يرحمو , و ","والدي و والدك يا اسلم بوه يرحمو , و ذا الحال ماني ليهي انتم ساكت عنو ابدا",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,شوف انت بو خمسين سنة، انت بو أربعين سنة و انت ادور تعود تتراوح بين تسعين الى مائة,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,شوف انت بو خمسين سنة، انت بو أربعين سنة ,شوف انت بو خمسين سنة، انت بو أربعين سنة و انت ادور تعود تتراوح بين تسعين الى مائة,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هذا ما ينقال,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,"هذا البرنامج برعاية , البنك الوطني الموريتاني",casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,"هذا البرنامج برعاية , ","هذا البرنامج برعاية , البنك الوطني الموريتاني",casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,! كبظ نعايل بنة,casablanca_mauritanian,dialect_example
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و الشيخ بعد كيف ما قلتي ألا خوي و صاحبي و لا عندي معاه مشكلة,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و الشيخ بعد كيف ما قلتي ألا خو,و الشيخ بعد كيف ما قلتي ألا خوي و صاحبي و لا عندي معاه مشكلة,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,السالك أنت من الساعة الي وحلن ف شغلتن ذي التالي خسرت على راسك,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,السالك أنت من الساعة الي وحلن ,السالك أنت من الساعة الي وحلن ف شغلتن ذي التالي خسرت على راسك,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,و كط قلت لك من معاني التاجر علنو عندو ألا مسألتين,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,و كط قلت لك من معاني الت,و كط قلت لك من معاني التاجر علنو عندو ألا مسألتين,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,حاصر اللا خونا ما فات جا,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,حاصر اللا خو,حاصر اللا خونا ما فات جا,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,خونا صبح مع الصباح فتبارك الله مبكر,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,خونا صبح مع الصبا,خونا صبح مع الصباح فتبارك الله مبكر,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,قالك ملي ان فيهم الوتات و فيهم ادبش، ذ مرصانديس الي نشروا نحن هون يجي الا فيهم يجي الا من لبحر,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,قالك ملي ان فيهم الوتات و فيهم ادبش، ذ مرصانديس,قالك ملي ان فيهم الوتات و فيهم ادبش، ذ مرصانديس الي نشروا نحن هون يجي الا فيهم يجي الا من لبحر,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,هو الاوخر طالع فوق الدار طويلة,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,هو الاوخر طالع ,هو الاوخر طالع فوق الدار طويلة,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,يطعني خوي يعدل لي شي ماو صالح,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,يطعني خوي يعدل,يطعني خوي يعدل لي شي ماو صالح,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,الا لين نتكلم معاه الا مجرد نتكلم معاه يقول لي انت نعرفك الا آن نعرفك الا آن,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,الا لين نتكلم معاه الا مجرد نتكلم معاه,الا لين نتكلم معاه الا مجرد نتكلم معاه يقول لي انت نعرفك الا آن نعرفك الا آن,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,الا كيف حد نعوذ بالله بقى,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,الا كيف حد ن,الا كيف حد نعوذ بالله بقى,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,في نكر كرفور واقف و توف محاصر من جميع الجهات,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,في نكر كرفور واقف و تو,في نكر كرفور واقف و توف محاصر من جميع الجهات,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,نحن بعد ما ريناه الي أهلك.,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,نحن بعد ما ري,نحن بعد ما ريناه الي أهلك.,casablanca_mauritanian,text_generation
This is Mauritanian Arabic (Hassania dialect). Provide a similar phrase:,,معناها اننا لي انعدلوا منظمة ينقالها محاربة الرجال اللي كانوا بباتيكهم ولا اتلاوا بباتيكهم.,casablanca_mauritanian,dialect_example
Continue this Hassania Arabic text:,معناها اننا لي انعدلوا منظمة ينقالها محاربة ا,معناها اننا لي انعدلوا منظمة ينقالها محاربة الرجال اللي كانوا بباتيكهم ولا اتلاوا بباتيكهم.,casablanca_mauritanian,text_generation
