english,hassaniya-ar,hassaniya-en
"Thanks, that's all.","ايجازيك بالخير, الا ذ گد","yjazik bel5er, 2ela 4e gedou"
The smell is characteristic of garlic.,لادج ريحتو مانعة,ladj ri7tou man3a
Most people don't drink enough water.,الناس عادة ما تشرب الي يكفيه من الما,2nass 3adeten matechrb 2li yikfihe 2mn 2lme
"Sushi is good, but Thai dishes are better.",سوشي زين يغير طعام تايلند أزين,sushi zeyn ye9er 63am tailand ezyn
He doesn't like coffee.,هو ما يبغي شراب كافة,howa ma yebghi chrab kave
Mariem was a little angry.,مريم كانت غضبانه شوي,mariem kant ghadbane chwey
Do you have any trouble with that?,عندك مشكلة مع ذ؟,3andak mouchkila m3a 4e?
Take the other chair!,گبظ مگعيد اخر,gbe8 meg3eyde 5re
When shall we have the party?,اينت لاهي نعدلو الندوية؟,eynta lehi n3adlou nedwiye
You look bored.,اتبان مندحس,tban mend7es
The door will be painted tomorrow.,الباب لاهي ينسبغ الصبح,lbab lehi yensbagh seb7
Show me how it works.,نعتلي بسمحالة تشقل,na3etli besm7ala toucha9al
"Just a moment, please.",حاني شوي حگل,7ani chwey 7agalla
Do as you want.,عدل ذلي دور,3del 4eli dour
"Hurry up, and you will be in time for school.",اعجل اياك ما تردي عن المدرسه,23jel iyak matardi 3n 2lmedrasse
No one trusts him any more.,ماتل يوثق فحد عاگب ذا,ma 2tle yewth9 v7ad 3ageb 4a
Your time is up.,وقتك أوف,we9tek wve
Try it by all means.,يالتك تجربو,yaltak tjarbou
I'll drive you to the airport.,لهي نلحگك للمطار,Lehi nle7gek llme6ar
Sami found a way to make a little extra money.,سامي اجبر اطريق ايحصل بيها ياسر من الفظه,sami 2jbar 6rig 2y7assel bihe yassr mn 2lva8a 
You are as tall as I am.,طولك الا كيف طولي,6oulek la kiv 6ouli
Which one do you take?,ايهم لاه تگبظ؟,2eyhoum lahi tegbe8?
So the doctor started to examine her., الطبيب ابدا يكونسلتيه,6abib bde2 yconsultih
That's not our business.,ذاك ماه من همنا,4ak mahou mn hemna 
My pet dog was seriously ill.,كلبي مو مصحح حتت,kelbi mo ms77 7tt
What do you like?,اش تبق؟,chteb9i?
Are you in a hurry?,أنت عجلان؟,nte 3ejlan?
I'm not going to sell it.,ماني لاهي نبيعو,mani lehi nbi3ou
The well ran dry.,البير يبس,2lbir ybes 
Get out.,أوخظ !,ew5a8
Don't forget about us!,لا تنسانا,la tensane
You were sent here to spy on us!,رسلوك هون ياك تجوسس علينا,Reslouk houn yak tejewses 3line
I'll pay by cheque.,لاه انخلص ابشيك,lahi n5eles bchek
The rain continued all day.,السحاب فوتت انهار كامل ماشه,s7ab vewtet nhar kaml mache
"Hurry up, or you will be late.",اعجل و الل لاه تتأخر,23jel wll lahi tt25r
Sami had the money.,الفظه كانت عند سامي,2lf8e kanat 3nd sami
Where's the toilet?,الدوش منين؟,douche mneyn?
"Above all things, we must not be selfish.",سابگ كل شي ما يالتنا نعودو أنانيين ,sabeg kel chi yaltna n3odo enaniyin
I wanted to go there.,همني نمشي هوك,hemni nimchi hok 
Fadil wanted more money.,دار فاضل زيادة من الفظه,Dar fadel ziyade mn va8a 
You are at liberty to make use of this room in any way you please.,انت حر ف اتعمل ذ البيت كيف ما بقيت,nte 7er v t3emel 4e lbeyt kiv ma b9eyt
There are a lot of books in his room.,فم ياسر من لكتوب اف بيتو,Vem yaser mn lektoub 2evbeytou
Don't be a bad boy.,لاتعود اطفل مانك زين,lat3oud 6vl mank zeyn
Ahmed likes to annoy me lately.,احمد يبقي يهيني هذو الأيام,ahmed yeb9i yhini ha4ou leyam
Layla went straight to her computer.,مشات ليلى مباشرة شور ارديناتيره,Mchat Layla mubachreten chor ordinateurha 
Did you go out last night?,خظت البارح؟,5e8et lbare7?
I was nearly run over by a truck.,بعدن اخبطني الكميون,ba3deni e5ba6ni kemyoun
The teacher had to evaluate all the students.,كان يالل الگراي يختبر جميع التلاميذ,kan yall lgeray yi5tbr jemi3 tlami4
I have to go to sleep.,يالتي نمشي نرگد,yalti nemchi nerged
Salem is playing.,سالم يلعب,Salem yel3ab
I need your advice.,نحتاج نصيحتك,ne7taj nesi7tek
Always tell the truth.,گول الحگ دائما,goul el7g dayman
"Let's go early, shall we?",طينا نبكرو,6ina nbekrou
Praise be to Allah!,الحمد لله,2l7amdou lillah 
We learn from experience that men never learn anything from experience.,نتعلم من التجارب ان الناس مايتعلم اي شي من التجارب,net3elem mn tejaroub 2en nas mayet3elmou 2eychi mn tejaroub
Why did she come home early?,شتمات ايلين جات في وقتها؟,chtemat eylyn jat vi wa9teha?
My bag was stolen.,صكي انصرگ,saki 2nsrag
He is always laughing.,دايما انشوفو يظحك ,daymn 2nchouvou ye87ak
Let's play foot-ball when the rain stops.,وهاي نلعبو بالوه لين اتوگف السحاب,wehay neli3bou ballon leyn twegev 2ss7ab 
He is old enough to drive.,عاد فعمر يگد يحرك ,3ad v3mer yged y7erek
"She's really smart, isn't she?",هي مالها حاذگة حت؟ ,hiye malhe 7a4gue 7atte?
I knit every day.,انسلم عليك كل انهار,2nslm 23lik kl 2nhar
Mariem is scared of dogs.,مريم خايفه من لكلاب,maryem 5ayfa men l-klab
That is somewhat explained at the end.,ذاك الا يضاح من تالى,4ak 2la youda7 mn tali
When does the restaurant close?,اينت لهي يگفل المطعم?,Inte lehi yegvel 2lme63am?
There are things in this world which simply cannot be expressed in the form of words.,خالگ شي من الروايات افذ الدنيا مايگد يعبر عن اف كلمات,5aleg chi mn rwayat v4i denye mayged you3eber 3enou 2v kelmat
I ate caviar.,كلت الكافيار,kelt lkavyar
"You haven't washed your hands yet, have you?","حگ, انت مافت اصگلت ايديك الين حالن؟","7eg, nte mavet sgelet 2eydek 2ileyn 7alen?"
Are you all right now?,انت اياك ال بخير ظرك؟,ent 2yak 2le 2b5eir 4ark?
Where will we eat?,لاهي نوكلو منين؟,lehi nowklou mneyn?
Not more than 40 percent of students go on university.,التلاميد اللي يگيسو الجامعة ما يلحگو  40%,tlamid eli yguisou ela jam3a mayel7gou 40%
"Come and see, said Babah.",گال باباه: وهاي شوف ال راصك,gal babah : wahay chov el rassak
I like French.,انا نبغي الفرنسيه,2ne nibghi 2lvaranssiye
Whose is this?,هذا المن؟,ha4e lmen?
You'd better consult the doctor.,اشبه اتسول طبيب,chbeh tsewel 6ebib
I want a new computer.,اندور اردناتير جديد,Ndor ordinateur jdid
It is neither good nor bad.,ماهي زينة ولاهي شينة,mahi zeyna wlahi cheyna
I can't believe it!,ما گاد يجد علي ذ,ma gad yjed 3liye 4e
"After the lightning, came the thunder.",عاگب لبرگ جا الرعد,3ageb librag je r3ad
They are too busy fighting against each other to care for common ideals.,شطنتهم الديگة عن طروح البال ال ذ لي يتواس,che6nethoum 2deyge 3en 6rou7 2lbal el 4e li yetwase
It's been raining since last night.,السحاب مزالت ماشه من البارح,s7ab mezalt mache mn lbar7 
I didn't drink the water.,ما شربت الما,Ma chrebet lme
Exercise is vital for a dog.,التدريب مهم للكلب,tedrib muhim lilkelb
Please follow the nurse's directions.,حگلل اصنت للممرضه,7gll snt lilmoumerida
You may have read this book already.,اتگد اتعود الا گط اگريت ذ لكتاب,tgued t3oud la ge6 greyt 4e lektab
I know your father.,انا نعرف بوك,2na n3rf bouk
Your eyes remind me of stars.,عينيك ايذكروني بالنجوم,3eynik y4ekrouni benjoum
Can you tell wheat from barley?,اتگد اتفاصل بين الگمح و اشعير؟,tged tvasel beyn lgeme7 w ch3ir?
It's a good deal.,هذي صفقة زين,he4i sev9e zeyne
No one encouraged her.,ما شجعها حد,ma chaja3aha 7ad
Ahmed salem and I saw a lion yesterday.,أنا وأحمد سالم شفنا سبع يامس,ena w a7med salem chevna sba3 yamess
Where have you been?,امنين كنت؟,mneyn kent?
Mauritania wasn't built in a day.,موريتان مابتنات ف انهار,mauritan mabtenat v nhar
You can rely on her.,اتگد الا تعتمد اعليها,tged la te3temed 3lihe
Paris is the capital of France.,باريس عاصمة فرنسا,Paris 3asmt varansa
What time does this train reach Yokohama?,اينت يوصل گارب السبت ل يوكوهاما؟,inte yewsal garb sibt l Yokohama?
"If you take care of the small things, the big things will take care of themselves.","الين تعتن عل الأمور اسقيرة, ادور تتيسر الأمور الكبيرة اوحدها","2ileyn te3ten 3le loumour s9eyre, dour tetyeser loumour lekbire w7edhe"
Mustafa inherited a large fortune.,مصطفى جبر تركة كبيرة,Mes6ave jbar terika kbira
You look like a tourist.,انت كيفتشي سائح,enta kivtchi sa2i7
Go on.,كمل,Kemel 
It was your own choice.,ذلك كان خيارك انت,4ak kan 5ayark 2nte
You don't have to make an apology.,ما عليك تطلب اسماح,ma 3lik te6leb sma7
"Generally speaking, savings are increasing.",عموما الناس الا عادت تصر صرة للدهر,"3oumoumen, nass la 3adt tssr sarra li dahr"
That's the stupidest thing I've ever said.,ذ اغبَ شي گط گلتو,4e 29be chiy ge6 geltou
I just don't know what to say.,مانعرف شلاهي انگول,ma na3rev chlahi ngoul
Thank you for your kind assistance while I was in New York.,گار في انك عاونتني لين كنت فنيويورك,gar viye nak 3awentni leyn kent v New york
"The news article painted the defendant as a guilty man, even though he had been proven innocent.",تقرير لخبار نعت ان المداع اعليه مذنب معن اَوْ اَكَدْ اَنُ بريء,te9rir le5bar ne3et 2en lmouda3i 3eleyh mou4neb m3enou 2ew2eked 2enou beri2
I'm so fat.,ان اسْمين حت,2ane 2esmin 7ete
The speech lasted thirty minutes.,الخطبه مضات 30 دقيقه,2l5i6be medat 30 da9i9a
I met a dog on my way home.,جبرت كلب في طريقي للدار,jbart kelb vi6rigi li dar
Take off your socks.,أفسخ شوستاتك,afsa5 chousetatak
He was very happy.,كان فرحان حت,kan var7an 7atte
"If I had had enough money, I would have bought the bag.",لكان عندي الفظه الكافيه كنت لهي نشري ذا الصك,lkan 3ndi lva6a lkavye knt lehi nichri 4e sak
I smell something rotten.,شامه ريحة شي خامر,chame ri7t chi 5amr
It's not important.,ماه مهم,mahou mouhim
I'm just saying!,الا طارح اراي وخلاص,ela 6are7 aray w 5lass
This has nothing to do with me.,ذا انا ما يعنيني,4e 2ne mayi3nini
The film started at 2 o'clock.,افلم ابدأ الثانية,film bde2 thanye
You have foul breath.,ريحة فمك مخنزة,ri7et vemek me5enze
I hope not.,الا الخير,ela lkher
It won't work.,ذ مانو لهي ينجح,4e manou lehi yenj7 
Go back to your seat.,ارجع المگعيدتك,rje3 lmeg3eydtek
Vadhel loves cooking.,ان شاء الله يعود كل شي بخير,nchallah y3od kel chi b5eyr
I cried all night long.,بكيت الليل كامل,bkeyt leyl kaml 
You must gather further information.,يالل اتجمع معلومات اكثر,yall 2tjem3 me3loumat 2kther
Where is the Japanese Embassy?,السفارة اليابانية منين؟,sivara lyabaniya mneyn?
What are you going to do with it?,شلاهي تعدل بيها؟,chlahi t3adel biha?
You are responsible for what you do.,انت مسؤول عن افعايلك,nte mes2oul 3en v3aylek
Ahmed hates shopping.,أحمد ما يگد اعل اتزگنين فالمرص,Ahmed mayged 3le tzegnin v lmres
I feed my cat every morning and every evening.,انوكل مشتي كل صبحاية و دحميساية,nwekel mechti kel m3esba7aye w de7misaye
Nessiba smiled happily.,نسيبة اتبسمت فرحانة,Nessiba tbesmet var7ana
"God, this place looks great.",يا الله هذا لبلد زين,ya allah ha4a lbled zeyn
Do whatever he tells you.,عدل ذلي يگولك,3del 4eli yegoulek
There is a garden at the back of my house.,خالگه جرديه ورى الدار,5alge jardin wra dari
Betty drives fast.,بتي تحراكها ماه متكايس,Betty te7rakeha mahou metkayess
He is a man of wit.,هو راجل حكيم,houwe rajl 7akim
I'm listening to the radio.,انا نصنت للراديو,ane nissannet li radio
We have seen three wars.,شهدنا اثلة حروب,chhedne thlet 7ouroub 
His victory made him a hero.,فوزو خلاه بطل,vewzou 5allah ba6al
You're in better shape than I am.,حالتك ازين من حالتي,7altek 2zyen mn 7alti
We found her alive.,جبرناها حية,jbarnaha 7aya
I don't know how to express my thanks.,ما نعرف بسمن حال لاه نشكرك,man3rv besmen 7ale lahi nechkrk
"Mary, what's wrong with you today?",ماري انتي امالك اليوم؟,mari 2nti 2malk lyoum?
I arranged for a car to meet you at the airport.,مشيت لك وته اياك تحانيك من المطار,mecheyt lk wete iyak t7anik mn lme6ar
Could you turn on your headlights?,تگد تگدي اظواو وتك؟,tgued tegdui a8wa8 wettak?
Again? Not again!,مره اخرى؟ ,mara 25ra?
How beautiful you are!,مزينك,meziynek
You may take anything you like.,تگد نگبظ اللي لاحقو خلاگك كامل,tgid tegba8 li la7gou 5lagk kaml
Thank you for your present.,يكثر خيرنا وخيرك على التيكبرة,ykethar 5eyrna w 5eyrak 3le tikebra
Cheese is made from milk.,الجبنه تعدل من اللبن ,2ljoubne tou3adl mn 2lban
It's cold.,البرد,2elbered
You should abide by the consequences.,يالتك تصبر اعگوبت افعايلك ,yaltek tesber 3goubet v3aylek
You're such a cute boy.,انت اطفيل ازوين,nte 6veyl zweyn
I'm not ready yet.,انا ما فت اجهزت ,2na ma vt 2jhizt
What is the time?,الوقت شنه؟,Lwe9et chenhou?
I asked him about the accident.,سولتو عن الحادث,sewltou 3n l7adth
You are a tennis player.,انت لاعب تينيس,nte la3ib tennis 
Betty can play the piano.,بتي تخبط ابيانو,Betty ta5ba6 piano
Don't worry about such a thing.,لا يشفرك,la yechvrak
Those who know him like him.,حد عرفو يبقيه,7ed 3ervou yeb9ih
What do you want?,شدور؟,chedour?
That won't work.,ذاك ماه لاهي يتعدل,4ak maho lehi yet3adel
We live in a three-bedroom house.,ساكنين ف دار فيها ثلت بيوت ارگاد,saknin v dar vihe thlt byout rgad 
I'm not busy.,ماني واحله اف شي,mani wa7le 2v chi
You broke the rule.,عدلت شي ما يتواسى,3edelet chi ma yetwase
You changed a lot.,تبدلت حت,tbedelt 7ete
Come again?,شنهو؟ ما سمعتك,chinhou ? masma3tek
Let us go home.,خلينا نرجعو للدار,5aline nerj3ou lidar
Aziz gave me a pen.,عزيز عطاني قلم,3aziz 36ani 9lam
The bug is still alive.,الخنفوسة مزالت حية,l5anvoussa mezalt 7aya
"Whether the problem is important or unimportant, you must solve it.","يسو ايلا عادت ذي المشكلة مهمة ولا ما, يالتك تحلها",yeswe yla 3adt 4i lmouchkila mouhime wla ma yaltak t7elha
When are we eating? I'm hungry!,انت لاه نوكل؟ ان جيعان,2nte lahi newkel? 2ane ji3an
Everybody laughed at me.,كاملين ظحكو في,kamlin 8a7kou viye
I'm not feeling well.,حاسه ابگلت صحه,7asse 2b gilit sa7a
"Did Maryame go, too?",مريم مشات زداهي؟,Maryame mchat zeda hiye?
You will soon get to like him.,دور اتطب عليه اگريب,dor t6eb 3lih greyib
"Is this your son, Betty?",بتي ذ طفيلك؟,Betty 4e 6veylek?
"Could you repeat that, please?",اتگد اتعل ذا اللي گلت حگلل,2tged t3el 4a li gelt 7agll
Could we have a fork?,تگد تعطينا فرشيت؟,tgued ta36ina fourchette?
The dog was dead.,الكلب كان ميت,lkelb kan miyit
"Give me the bill, please.",اعطيني الفكتيرة حگلل,236ini lvektire 7gll
I went to the zoo yesterday.,گست يامس حديقة الحيوان,geset yames 7ediy9et l7eywan
Put the gun on the table.,دير المدفع على الطابلة,dir lmedva3 3le 6abla
I'll drive you home.,لاه نلحگك للدار,Lahi nla7gk lidar
What made her do such a thing?,شخلاها تعدل شي ذا كيفو,ch5alahe t3adel chi 4e kivou
All you have to do is sign your name here.,الي اعليك من شي الا انك اتوقع باسمك هون,li 3lik mn chi la 2enek twe9e3 besmek houn
You are a good boy.,انت اطفيل زين,nte 6veyl zeyn
I don't know when Amadu came to Mauritania.,ما نعرف اينت آمادو جا لموريتان,ma n3rf Int Amadou ja lmouritan
Arabic isn't complicated.,العربية ماهي صعيبة,l3arabiye mahi sa3iba
Can I borrow your car?,انگد نعري وتك,Nged ne3ri wetek
We admire her for her bravery.,زين عندنا شجاعتك  ,zeyn 3ndne cheja3tk
Sami prayed.,سامي صلى,sami sala
Are your hands clean?,ايديك امصگلة؟,2eydyk msegle?
Stay here with us.,ابگ هون معانا,bge houn m3ane
In which folder did you save the file?,اف اي مجلد درت الملف؟,v2ey moujeled dert lmelef?
How many books did you read?,گريت كم من كتاب؟,Greyt kem mn ktab?
Everyone wants to meet you. You're famous!,"الناس كامل يدورو يتعرف اعليك, انت شايع ","2enas kamle 2ydourou yet3ervou 3lik, 2nte chaye3"
What do you want to be?,اش تبق اتعود؟,chteb9i t3oud?
He's kicking me!,هو يخبطني بكراعو,houwe ye5be6ni bkra3ou
Low temperatures turn water into ice.,الحراره لين تگل ، يتحول الما شور گلاص,"l7arara leyn tgl  , yit7awl lme chor glass"
"Can somebody help me? ""I will.""",يگد حد يعاوني؟ والله,ygued 7ad y3awenni? wallahi
You were shouting at her and I don't like that.,أنت صككت عليها وذ ماه راضيني,enta sakakt 3liha w 4e maho radhini
I admire your ignorance.,عاجبني افسيدك,3ajebni vseydek
I heard it from you.,ذاك سمعتو منك,4ak sma3tu mink
Mustafa is as old as my brother.,مصطفى عصر خويا,Mes6ave 3asser 5ouya
Did you come here alone?,جيت وحدك؟,jeyt wa7dk?
Who is coming with me?,من يبق يتافگ امعايا؟,men yeb9i yetavg m3aye?
Please don't cry.,حگل لا تبكي,7egele la tebki
We may not be able to afford it.,نگدو ما نعودو گادين نشروه,nguedou ma n3odo gadin nechrouh
"Peanut butter and jelly, please.",اعطيني بطة گرتة وكونفتير حگل,a36ini ba6et guerta w confiture 7agalla
Write your address here.,اكتب مارتك هون,kteb martek houn
She regretted deeply when she looked back on her life.,ندمت حته لين رجعت للفات,nidmt 7att leyn raj3t lilvat
You should pay your debts.,يالتك اتخلص الدين الي اعليك,yaltek t5eles deyn li 3lik
Sami wanted to give meaning to his own life.,سامي بغى يعطي معنى ال حياتو,sami bgha ya36i ma3na el 7ayatou
Let's play something.,وهاي نلعبو,wehay neli3bou
Can you tell me how to get to Lincoln Center?,مندرى كانك اتگد تسهديني على صانتر لنكن,mindra Kank 2tgd 2tsehdini 23le centre Lincoln 
I go every year.,نمشي كل عام,Nemchi kel 3am
"Hurry up, and you will be able to catch the train.",اعجل اياك تلحگ ابگارب السبت ,23jel iyak tel7ag 2b garb 2sibt
Dah often smiles.,الداه ماه بشوش,Dah maho bechouch
Green suits you.,زين أعليك لخظار ,zeyn 3lik le58ar
I wake up very early.,أنا نوعى في وقتي,Ena now3a vi wa9ti
Please give me a piece of bread.,حگل اعطيني طشة من مبورو,7agalla 36ini 6acha mn mboro
You can come with me.,تگد تتافگ معاي,tgued tetaveg m3aye
We sell orange juice.,نحن نبيعو عصير اورانج,ne7na nbi3ou 3assir orange
What time did she arrive at Narita Airport?,اينت جيت ال مطار ناريتا؟,eynte jeyt el ma6ar narita?
Come back soon.,رجع بالعجلة,rja3 bl3ajla
Kate had a cold.,كايت نوزلت,kate newzlet
That's common sense.,ذاك من البديهيات.,4ak mn lbedihiyat
Why do you blame me for what happened?,لاش تلومني على ذلي خلگ؟,lach tloumni 3le 4eli 5leg?
Nessiba has a piano.,نسيبة عندها بيانو,Nessiba 3andeha piano
The space ship will get to the moon soon.,السفينه الفضائيه ادور اتجي گريب للقمر,sevine lveda2iye  dor tji greyib lil9amar 
I would like to see it.,نبغي نشوفو,nebghi nchovo
It happened one night.,خلگ ليلة ماضية,5leg leyla madhiya
What's your major field?,شنه مجال شقلتك؟,chenhou mejal che9eltek?
Take care.,ودعناك لمولانا ,weda3nak lmoulane
My dog follows me whenever I go.,يتلبني كلبي منين ما مشيت,ytelebni klbi mneyn ma mcheyt
It would of course be cheaper for you to sleep at our place.,يدور يعود اهونلك اكيد تبات فدارن نحن,ydour y3oud 2hwenlek 2kid tbat 2vdarne ne7ne
Haste makes waste.,العجلة من الشيطان,l3ajle mn 2chey6an
It's artificial.,راهو صناعي,Rahou sina3i
Their baby can walk.,ولهم ايگد يمشي,wilhm 2ygd ymshi
"Pass me the salt, please.",مد لي الملح حگلل,mid li lmil7 7gll 
"When Ahmad was a boy, he could climb tall trees.",احمد كان ايگد يشعبط اصدار لكبار لين كان اصغير,27med kan 2ygid ycha3ba6 sdar likbar leyn kan 2sghayir
You are the man I've been looking for.,انت الراجل اللي كنت انلود لو,nte rajl li knt nlewdlou
"""I don't know,"" said Tony.",محمد گال :  ما نعرف,mou7amed gal : mana3rv
I hear Robert is sick.,سمعت ان محمد مريض,sma3t in mou7amed merid
Kyoto is not as large as Osaka.,كيوتو ماهي كبيره كيف اوساكا,Kyoto mehi kbire kiv osaka
The boy ran away.,هرب اطفيل,hrab 6feyl
No one will know.,ما لاهي يعلم حد,ma lahi ye3lem 7ad
How much is it?,ابكم؟,bkem?
You should start as early as you can.,يالتك تبدا ابكر,yaltek tebde2 2ebker
"People who will lie for you, will lie to you.","حد يكذب اعل ملتك, يكذب اعليك","7ed yek4eb 3le meltek, yek4eb 3lik"
"Turn off the light, please.",طفي الظو حگل,6fi 8aw 7agalla
Everybody wants to sit beside her.,هوم كاملين يدورو يگعدو احذاها,houm kamlin ydorou yg3dou 274aha
It's as easy as pie.,هذا بسيط,ha4a bessi6
I imagine a house where I'm happy.,نتخيل دار انعود فيها متمونك,nit5ayel dar 2n3oud vihe mitmonk
Life is what happens to you while you're busy making other plans.,الدنيا هي ذلي يخلگلك من شي ماه مبرمج,denye hiye 4eli ye5leglek mn chi mahu moubermej
I want to talk to you about something else.,اندور نتكلم امعاك عن شي اوخر,Ndor ntklm m3ak 3n shi 25r
Both Sidi and Ghallat were absent today.,سيدي وغلات ماطلعو اليوم,Sidi w Ghallat ma 6al3ou lyoum
I don't agree with him.,مان معاه على ذ,mani m3ah 3le 4e
I like candlelight.,نبق ظو اسندل,neb9i 8ew sendel
Translate the underlined sentences.,ترجم الجملة اللي تحته خط  ,terjem ljumle li ta7the 5i6
Do you sell mineral water?,انت تبيع أفياه؟,2nte tbi3 2vyah?
Why aren't you coming with us?,علاش مانك جاي امعان؟,3lach manek jay m3ane?
This wall is painted green.,الحيط مسبوق باخظر النعناع ,2l7ey6 mesbou9 be58ar na3na3
My mother is making a cake for my father.,امي اتعدل گاتوايه إلبويه,oumi t3adel gatwaye 2lbouye 
May I play the piano?,نگد نخبط بيانو؟,Ngued na5ba6 piano?
Something must be done!,يالل يعدل شي,yall you3adel chi 
Ahmed suddenly stopped talking when Mariam entered the room.,احمد اسكت عن لكلام عند دخلت مريم للبيت,Ahmed sket 3en leklam 3end de5let Mariam lelbeyt 
I'll be with you forever.,اندور نبگ معاك دايما,ndor nebge m3ak daymn 
Drivers should be aware of the traffic rules.,الناس اللي تحرك يالتها تطرح البال ال قواعد المرور,ennas eli t7arek yaletha ta6ra7 elbal lel 9awa3ed elmourour
I'm alone.,أنا وحدي,ena wa7di
Listen carefully.,اسمع حته,2sma3 7att
Football is my favorite game.,بالون أغلى لعبة علي,Balon aghla le3ba 3liya
We play football every Saturday.,نلعب بالوه كل سبت,Nele3bou balouh kel sebet 
Is there any life on Mars?,المريخ ظرك فيه حياة؟ ,lmiri5 8arke vih 7ayat ?
I often see him.,عادة، ما نشوفو,3adetn manchouvou
Why do you want to buy this book?,اعلاش ادور تشري ذ لكتاب؟,3lach dour techri 4e lektab?
I can't live without a TV.,مانگد نحي من دون اتلفزة,manged ne7ye mn doun telveze
Let her go.,خليها تمشي,5aliha tmshi
Absence makes the heart grow fonder.,البعد ايزيد ليعات الگلب ,2lbou3d 2yzid ley3at 2lgalb
May I see your passport?,نگد نشوف باسبورك؟,ngued nchov passporak?
Ahmed pushed Layla down the stairs.,أحمد رفع ليلى من فوگ لمطاليع ,Ahmed rve3 layla mn vewg lem6aliy3
I have a lot of things I have to do before tomorrow.,عندي ياسر من شي يالتي نوفيه سابگ الصبح,3andi yassr mn chi yalti nwefih sabg seb7
There! She comes!,ذيكي جاية,4eki jaya
I would never have guessed that.,ماجه افبالي ابدا,maje 2vbali 2beden
Either you or your friend is wrong.,الا انتي و الل صاحبتك اللي معدلين الخطأ,Ela nti wll sa7btk li m3adlin l5a62
I met her on my way to school.,جبرتها في طريگي للمدرسه,jbarthe vi 6rigi lilmedrasse
What's going on?,شخلگ,ch5lg ?
The girl released the birds from the cage.,الطفلة وخطت الطيور من الشبكة,6evla wa58et 6your mn chebka
Salem resembles his father.,سالم فيه ياسر من والدو,Salem vih yasser mn waldou
"You wash the dishes, Jamal.",جمال اصگل الگدحان,Jamal esguel el gued7an
"As soon as he arrived at the airport, he phoned his office.",الا لين وصل للمطار تلفن لمكتبو,Ela leyn wsal llme6ar telven lmektbou
Don't say such a thing.,لا تقول شيء ذا كيفو,latgouli chi 4e kivou 
Can't you tell right from wrong?,ما اتگد اتفاصل بين الصالح و الخاسر؟,ma tged tvasel beyn sale7 w l5aser?
It doesn't matter.,ماه مهم,maho mouhim
I admire your courage.,عاجبني اتفگريشك,3ajebni tvegriychek
There are many hotels downtown.,الدشرة فيها ياسر من الفنادق,dechra viha yasser mn lvanade9
"I tried again and again, but I couldn't succeed.",حاولت حته يغير ما نجحت,"7awlt 7att , yegheyr ma nj7t "
"Jamal, you try.",جمال حاول,jemal 7awl
Please hold on.,حاني شوي,7ani chwey
Betty was the first girl who came to the party.,بتي هي الاولى اللي جات للندوية,Betty hiye lewla 2li jat le nedwiya
What time will the bus pick us up?,اينت لهي يوصل الكار,inte lehi yewssal lkar
Not all birds can fly.,الطيور ما طير كامل,6your ma 6ir kamel
You can choose whatever you like.,تگد تختر ذ الباغي,tgued te5ter 4e lbaghi
Millions of people lost their lives during the war.,ملايين من البشر اتوفاو في الحرب,melayin mn 2lbecher twevaw v 2l7rb
You are in a safe place.,انت فبلد امن,nte vebled 2amen
Sara lost her glasses.,سارة وغدو عليها بصاراتها,sara weghdou 3lihe bassarateha
Let's forget about this.,اعطونا ننساو ذ,e36ouna nensaw 4e
Your face is red.,وجهك احمر,woujhk a7mar
I'll call Sami.,لاه انعيط السامي,Lahi n3eye6 2elsami
Ahmed is 20 now.,أحمد حالا عند عشرين سنة,Ahmed 7alan 3endou 3echrin sene
Please correct my pronunciation.,صلحلي النطق حگل,sala7li nou6e9 7agalla
The man wore a mask of a tiger.,الراجل دار مصك النمر,rajel dar mask nmer
I didn't hear what you said.,ذا اللي گلت ما اسمعتو,4e li gilt masma3tou
"If it had not been for your help, my father would have failed.",لكنت ما عاونت بوي كان لهي يطيح,leknt ma 3awnt bouye kan lehi y6i7
Cattle feed on grass.,الگلفه توكل الربيع,lgilve tewkel rbi3
This is the town I told you about.,ذي هي البادية لي گتلك,4i hiye lbadiye li getlek
Don't open the door.,لا تفتح الباب.,la tafta7 lbab
Can I borrow your radio?,اتگد تعريلي راديوك؟,tgid ti3rili radyouk
"Suddenly, the rain fell.",الا تمين ايلين جات السحاب,ela temeyna eylyn jat s7ab
Yesterday we had fun.,لتهين يامس,letheyne yames
Turn right at the crossroad.,فير اعل ايدك العربية عند كارافور,veyri 3le 2eydek l3erbiye 3end carrefour
"Hurry up, or you'll miss your plane.",اعجل و الل لاه تفوتك الطايره,23jel wll lahi tvoutk 6ayre
Do you talk about us?,أنت تتكلم عنا,enta tetkelem 3ana
There are many rivers in India.,الهند فيها ياسر من الأنهار,elhind vihe yasser mn lanhar
The strong will survive and the weak will die.,الاقوياء لهي يعيشو و الضعفاء لهي يموتو,la9wiya2 Lehi y3ichou W dou3ava2 Lehi ymoutou
You should distinguish between right and wrong.,يالتك اتفاصل بين الصالح و الخاسر,yaltek tvasel beyn sale7 w l5aser
Samba doesn't have many books.,صمبه ماعندوا يسر من لكتب,sambe ma3andou yassr mn liktoub
What?,شنه؟,chenhou?
The committee consists of four members.,الهيئة فيها أربع أعضاء,elhey2a vihe arba3 a3dha2
The film was not what I had thought it was.,ذ فيلم ماه ذ ال كنت شاك عنو,4e film maho 4e lkent chak 3ano
